Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Single Arm Kettlebell Bottoms Up Copenhagen Plank Side Raise,Advanced,Adductors,Adductor Magnus,,,Kettlebell,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Bottoms Up,Other,Foot Elevated (Side),Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
Single Arm Kettlebell Knee Supported Row,Beginner,Back,Latissimus Dorsi,,,Kettlebell,1,Bench (Flat),1,Knee Supported,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Kettlebell Seated Single Leg Tibialis Raise,Novice,Shins,Tibialis Anterior,,,Kettlebell,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Ankle Dorsiflexion,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Unsorted*
Double Kettlebell Seated Calf Raise,Beginner,Calves,Soleus,,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Double Kettlebell Seated Feet Elevated Calf Raise,Beginner,Calves,Soleus,,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,Toes Elevated,Single Exercise,Ankle Plantar Flexion,,,Sagittal Plane,,,Lower Body,Push,Isolation,Bilateral,Bodybuilding
Alternating Double Dumbbell Thruster,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,2,None,0,Standing,Double Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
Alternating Single Arm Macebell 360,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,None,0,Standing,Single Arm,Alternating,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
Single Arm Macebell Inside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Single Arm Macebell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Single Arm Macebell Inside Circle to Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
Macebell Inside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Macebell Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Macebell Inside Circle to Outside Circle,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Brachioradialis,Macebell,1,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Ballistics
Double Kettlebell Seated Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Seated Overhead Press,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Kettlebell Bottoms Up Seated Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Seated Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Seated,Double Arm,Alternating,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Seated Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,Bench (Flat),1,Seated,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Battle Rope Alternating Cossack Squat Alternating Wave,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Biceps Brachii,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Bodyweight Low Switch Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bodyweight,1,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Alternating Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Low Switch Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zercher Foot Elevated Cossack Squat,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Barbell Zombie Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Standing,Double Arm,Continuous,No Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Barbell Zombie Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Split Squat,Double Arm,Continuous,No Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Heavy Sandbag Bear Hug Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Bear Hug Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Unsorted*
Heavy Sandbag Shoulder Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Heavy Sandbag Shoulder Ipsilateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,None,0,Standing,Double Arm,Continuous,Neutral,Shoulder,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Unsorted*
Barbell Zombie Cyclist Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,Slant Board,1,Standing,Double Arm,Continuous,No Grip,Front Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Suspension Foot Elevated Ipsilateral Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Single Arm Suspension Ipsilateral Cossack Squat,Beginner,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Suspension Trainer,1,None,0,Standing,Single Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Battle Rope Low Switch Cossack Squat Alternating Wave,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Biceps Brachii,Battle Ropes,1,None,0,Standing,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*
Plate Overhead Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Foot Elevated Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Weight Plate,1,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Low Switch Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Foot Elevated Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Bulgarian Bag,1,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Supinated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Supinated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Low Switch Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Supinated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Front Rack Foot Elevated Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Sandbag,1,None,0,Standing,Double Arm,Continuous,Supinated,Front Rack,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bulgarian Bag Back Rack Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Back Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Dead Bug,Novice,Abdominals,Rectus Abdominis,,,Weight Plate,1,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Sandbag Front Rack Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Supinated,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Sandbag Back Rack Bulgarian Split Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Back Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Plate Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Weight Plate,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Feet Elevated Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Seated Floor,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Russian Twist,Beginner,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Seated Floor,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Landmine Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Landmine,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Alternating Hawaiian Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Bodyweight Hawaiian Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Suspension Hawaiian Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Suspension Trainer,1,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Unsorted*
Bodyweight Hand Assisted Hawaiian Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,Double Arm,Continuous,Hand Assisted,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Double Kettlebell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Alternating Single Arm Dumbbell Pendlay Row,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Dumbbell,1,None,0,Standing,Single Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Double Dumbbell Tall Kneeling Shrug,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2,None,0,Tall Kneeling,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Kettlebell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Flat),1,Supine,Single Arm,Continuous,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Macebell Offset Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Macebell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Anti-Lateral Flexion,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Macebell Offset Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Macebell,1,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,Anti-Lateral Flexion,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dummbell Overhead Foot Elevated Contralateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
Single Arm Dummbell Overhead Foot Elevated Ipsilateral Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
Alternating Double Kettlebell Bench Press,Beginner,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Alternating,Pronated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Suitcase Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Suitcase,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Suitcase Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Kettlebell Bottoms Up Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,2,Bench (Flat),1,Supine,Double Arm,Alternating,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Bench Press,Novice,Chest,Pectoralis Major,Triceps Brachii,,Kettlebell,1,Bench (Flat),1,Supine,Single Arm,Continuous,Bottoms Up,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Macebell Order Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Order,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Plate Overhead Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Overhead,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Bulgarian Bag Back Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bulgarian Bag,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Back Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Sandbag Front Rack Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1,Slant Board,1,Standing,Double Arm,Continuous,Supinated,Front Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Heavy Sandbag Bear Hug Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Bear Hug,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Heavy Sandbag Shoulder Cyclist Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Heavy Sandbag,1,Slant Board,1,Standing,Double Arm,Continuous,Neutral,Shoulder,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*
Landmine Goblet Cyclist Squat,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Landmine,1,Slant Board,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
Double Kettlebell Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
Alternating Double Kettlebell Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Dumbbell Goblet Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Dumbbell Goblet Alternating Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1,None,0,Single Leg Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
Single Arm Kettlebell Prone Row,Novice,Back,Latissimus Dorsi,,,Kettlebell,1,Bench (Flat),1,Prone,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Bodyweight Alternating Pistol Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1,None,0,Single Leg Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
Barbell Zombie Pistol Squat,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1,None,0,Single Leg Standing,Double Arm,Continuous,No Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
